"TOPMAR (P)","Topmark","HEIGHT","Height",""
"TOPMAR (P)","Topmark","MARSYS","Marks navigational - System of","IALA A"
"TOPMAR (P)","Topmark","MARSYS","Marks navigational - System of","IALA B"
"TOPMAR (P)","Topmark","MARSYS","Marks navigational - System of","modified US"
"TOPMAR (P)","Topmark","MARSYS","Marks navigational - System of","old US"
"TOPMAR (P)","Topmark","MARSYS","Marks navigational - System of","US intracoastal waterway"
"TOPMAR (P)","Topmark","MARSYS","Marks navigational - System of","US uniform state"
"TOPMAR (P)","Topmark","MARSYS","Marks navigational - System of","US western rivers"
"TOPMAR (P)","Topmark","MARSYS","Marks navigational - System of","SIGNI"
"TOPMAR (P)","Topmark","MARSYS","Marks navigational - System of","no system"
"TOPMAR (P)","Topmark","MARSYS","Marks navigational - System of","other system"
"TOPMAR (P)","Topmark","PEREND","Periodic date end",""
"TOPMAR (P)","Topmark","PERSTA","Periodic date start",""
"TOPMAR (P)","Topmark","STATUS","Status","permanent"
"TOPMAR (P)","Topmark","STATUS","Status","occasional"
"TOPMAR (P)","Topmark","STATUS","Status","recommended"
"TOPMAR (P)","Topmark","STATUS","Status","not in use"
"TOPMAR (P)","Topmark","STATUS","Status","periodic/intermittent"
"TOPMAR (P)","Topmark","STATUS","Status","reserved"
"TOPMAR (P)","Topmark","STATUS","Status","temporary"
"TOPMAR (P)","Topmark","STATUS","Status","private"
"TOPMAR (P)","Topmark","STATUS","Status","mandatory"
"TOPMAR (P)","Topmark","STATUS","Status","destroyed/ruined"
"TOPMAR (P)","Topmark","STATUS","Status","extinguished"
"TOPMAR (P)","Topmark","STATUS","Status","illuminated"
